date,temp_max,temp_min,rain,wind_speed,province,lat,lon
2015-09-20,33.1,24.6,1.6,13.7,Phnom Penh,11.55,104.91
2015-09-21,31.8,25.0,5.6,10.0,Phnom Penh,11.55,104.91
2015-09-22,32.1,25.3,13.7,12.2,Phnom Penh,11.55,104.91
2015-09-23,32.4,25.1,5.0,14.3,Phnom Penh,11.55,104.91
2015-09-24,31.8,25.0,3.0,15.8,Phnom Penh,11.55,104.91
2015-09-25,31.7,25.2,12.2,15.0,Phnom Penh,11.55,104.91
2015-09-26,32.1,25.4,5.4,15.5,Phnom Penh,11.55,104.91
2015-09-27,31.7,25.0,15.9,10.3,Phnom Penh,11.55,104.91
2015-09-28,30.3,24.7,10.6,13.5,Phnom Penh,11.55,104.91
2015-09-29,31.7,24.3,8.3,10.3,Phnom Penh,11.55,104.91
2015-09-30,31.5,24.5,2.6,6.4,Phnom Penh,11.55,104.91
2015-10-01,32.2,25.0,2.8,12.0,Phnom Penh,11.55,104.91
2015-10-02,31.5,25.3,7.1,16.3,Phnom Penh,11.55,104.91
2015-10-03,31.6,25.3,5.7,16.8,Phnom Penh,11.55,104.91
2015-10-04,29.4,24.6,11.3,15.6,Phnom Penh,11.55,104.91
2015-10-05,31.0,24.6,2.0,11.4,Phnom Penh,11.55,104.91
2015-10-06,32.0,23.9,1.3,8.9,Phnom Penh,11.55,104.91
2015-10-07,31.9,24.5,3.9,9.0,Phnom Penh,11.55,104.91
2015-10-08,31.4,24.6,7.0,7.8,Phnom Penh,11.55,104.91
2015-10-09,31.1,24.9,9.3,11.6,Phnom Penh,11.55,104.91
2015-10-10,30.7,25.2,5.6,10.3,Phnom Penh,11.55,104.91
2015-10-11,31.3,24.7,13.3,8.4,Phnom Penh,11.55,104.91
2015-10-12,30.4,24.7,20.4,9.7,Phnom Penh,11.55,104.91
2015-10-13,30.6,23.7,7.3,9.6,Phnom Penh,11.55,104.91
2015-10-14,30.7,24.2,3.6,8.4,Phnom Penh,11.55,104.91
2015-10-15,28.7,24.2,35.5,6.8,Phnom Penh,11.55,104.91
2015-10-16,29.8,24.4,6.7,15.5,Phnom Penh,11.55,104.91
2015-10-17,31.5,24.4,1.3,8.2,Phnom Penh,11.55,104.91
2015-10-18,31.5,24.3,4.4,9.2,Phnom Penh,11.55,104.91
2015-10-19,31.1,24.3,5.4,8.1,Phnom Penh,11.55,104.91
2015-10-20,31.0,24.5,11.5,7.2,Phnom Penh,11.55,104.91
2015-10-21,30.9,24.9,1.1,8.7,Phnom Penh,11.55,104.91
2015-10-22,32.2,24.4,0.2,12.2,Phnom Penh,11.55,104.91
2015-10-23,30.7,24.4,2.7,12.0,Phnom Penh,11.55,104.91
2015-10-24,30.8,24.2,0.9,7.1,Phnom Penh,11.55,104.91
2015-10-25,31.4,24.0,0.5,4.7,Phnom Penh,11.55,104.91
2015-10-26,30.2,25.1,11.2,7.2,Phnom Penh,11.55,104.91
2015-10-27,32.2,24.7,3.7,9.1,Phnom Penh,11.55,104.91
2015-10-28,31.8,24.4,1.2,7.3,Phnom Penh,11.55,104.91
2015-10-29,32.0,24.6,0.2,7.4,Phnom Penh,11.55,104.91
2015-10-30,32.8,24.8,0.1,10.8,Phnom Penh,11.55,104.91
2015-10-31,32.4,24.5,0.0,11.2,Phnom Penh,11.55,104.91
2015-11-01,31.5,24.6,2.0,11.2,Phnom Penh,11.55,104.91
2015-11-02,32.0,24.7,4.1,16.6,Phnom Penh,11.55,104.91
2015-11-03,31.6,24.5,3.1,15.6,Phnom Penh,11.55,104.91
2015-11-04,31.3,24.4,4.2,17.4,Phnom Penh,11.55,104.91
2015-11-05,31.0,24.4,4.6,12.1,Phnom Penh,11.55,104.91
2015-11-06,29.5,24.2,17.6,11.4,Phnom Penh,11.55,104.91
2015-11-07,30.4,24.1,0.6,11.0,Phnom Penh,11.55,104.91
2015-11-08,30.5,24.0,20.4,10.9,Phnom Penh,11.55,104.91
2015-11-09,30.9,24.0,1.0,8.0,Phnom Penh,11.55,104.91
2015-11-10,30.9,24.6,2.2,9.6,Phnom Penh,11.55,104.91
2015-11-11,31.3,24.5,2.3,8.7,Phnom Penh,11.55,104.91
2015-11-12,31.5,25.1,7.5,8.7,Phnom Penh,11.55,104.91
2015-11-13,31.2,25.0,2.8,6.9,Phnom Penh,11.55,104.91
2015-11-14,31.0,24.6,1.5,7.1,Phnom Penh,11.55,104.91
2015-11-15,31.7,24.2,0.7,8.2,Phnom Penh,11.55,104.91
2015-11-16,31.8,24.7,0.7,7.0,Phnom Penh,11.55,104.91
2015-11-17,31.7,24.5,0.5,8.6,Phnom Penh,11.55,104.91
2015-11-18,31.4,25.6,0.5,9.4,Phnom Penh,11.55,104.91
2015-11-19,31.5,24.8,1.3,6.3,Phnom Penh,11.55,104.91
2015-11-20,32.4,25.0,0.0,11.6,Phnom Penh,11.55,104.91
2015-11-21,32.2,24.3,0.2,11.8,Phnom Penh,11.55,104.91
2015-11-22,32.2,24.5,1.7,7.9,Phnom Penh,11.55,104.91
2015-11-23,32.0,25.0,0.0,10.1,Phnom Penh,11.55,104.91
2015-11-24,32.9,24.6,0.0,9.6,Phnom Penh,11.55,104.91
2015-11-25,32.3,25.8,0.5,8.9,Phnom Penh,11.55,104.91
2015-11-26,32.4,25.5,0.0,16.5,Phnom Penh,11.55,104.91
2015-11-27,32.0,24.8,0.0,19.1,Phnom Penh,11.55,104.91
2015-11-28,32.5,25.0,0.3,16.1,Phnom Penh,11.55,104.91
2015-11-29,32.6,25.2,0.0,14.3,Phnom Penh,11.55,104.91
2015-11-30,33.0,25.8,0.3,13.5,Phnom Penh,11.55,104.91
2015-12-01,32.8,25.0,0.8,9.1,Phnom Penh,11.55,104.91
2015-12-02,33.1,24.6,2.4,10.9,Phnom Penh,11.55,104.91
2015-12-03,32.8,24.9,0.4,12.8,Phnom Penh,11.55,104.91
2015-12-04,32.2,25.5,0.3,8.8,Phnom Penh,11.55,104.91
2015-12-05,32.3,25.1,0.1,7.9,Phnom Penh,11.55,104.91
2015-12-06,33.3,25.4,0.6,11.8,Phnom Penh,11.55,104.91
2015-12-07,33.1,26.5,0.1,21.4,Phnom Penh,11.55,104.91
2015-12-08,33.2,26.0,0.0,18.6,Phnom Penh,11.55,104.91
2015-12-09,33.2,26.0,0.0,10.5,Phnom Penh,11.55,104.91
2015-12-10,33.4,25.0,1.2,9.2,Phnom Penh,11.55,104.91
2015-12-11,32.3,25.8,1.6,10.2,Phnom Penh,11.55,104.91
2015-12-12,32.3,25.1,1.0,8.8,Phnom Penh,11.55,104.91
2015-12-13,33.1,25.2,0.0,8.0,Phnom Penh,11.55,104.91
2015-12-14,33.9,25.0,0.1,9.9,Phnom Penh,11.55,104.91
2015-12-15,33.7,24.4,0.0,10.2,Phnom Penh,11.55,104.91
2015-12-16,32.9,24.4,0.5,9.2,Phnom Penh,11.55,104.91
